id,title,price,brand,size,model_cpu,freq,ram_size,storage,code2,video_card
s1,Ноутбук Acer Aspire 3 A315-34-P351 (NX.HE3ER.010),174990,Acer,"15,6″ - 39,62 см",Intel® Pentium® Silver N5030,1.1 ГГц,4 ГБ,1 ТБ,(NX.HE3ER.010),Intel UHD Graphics 605
s2,"Ноутбук Apple MacBook Air 13″ (2020) i3 1,1/8Gb/256GB SSD Space Gray (MWTJ2)",553890,Apple,"13,3″ - 33,78 см",Intel® Core™ i3-1000NG4,1.10 ГГц,8 ГБ,256 Гб,(MWTJ2),Iris Plus Graphics
s3,Ноутбук Acer Aspire 7 Gaming  A715-75G-701Q   (NH.Q87ER.00F),439390,Acer,"15,6″ - 39,62 см",Intel® Core™ i7-9750H,2.6 ГГц,16 ГБ,512 ГБ,(NH.Q87ER.00F),GeForce GTX 1650 Super
s4,Ноутбук Asus TUF Gaming FX505D (90NR02D1-M12900),339890,Asus,"15,6″ - 39,62 см",AMD Ryzen 5 3550H,2.1 ГГц,8 ГБ,512 ГБ,(90NR02D1-M12900),GeForce GTX 1650 Super
s5,Ноутбук Asus VivoBook 15 X512D R341TUW (90NB0LZ3-M25760),229990,Asus,"15,6″ - 39,62 см",AMD Ryzen 3 3200U,2.6 ГГц,4 ГБ,1 ТБ,(90NB0LZ3-M25760),Radeon Vega 3
s6,Ноутбук Acer Aspire 3 A315-54K (NX.HEEER.01Q),269990,Acer,"15,6″ - 39,62 см",Intel® Core™ i5-6300U,2.4 ГГц,4 ГБ,1 ТБ,(NX.HEEER.01Q),Intel HD Graphics 520
s7,Ноутбук HP Laptop Potter 1.0 I341TUN 1X2S1EA (15-da0567ur),189990,HP,"15,6″ - 39,62 см",Intel® Core™ i3-8130U,,4 ГБ,1 ТБ,(15-da0567ur),Intel UHD Graphics 620
s8,"Ноутбук Apple MacBook Air 13″ (2020) i3 1,1/8Gb/256GB SSD Gold (MWTL2)",561990,Apple,"13,3″ - 33,78 см",Intel® Core™ i3-1000NG4,1.10 ГГц,8 ГБ,256 Гб, (MWTL2),Iris Plus Graphics
s9,Ноутбук Acer Predator Triton 700 PT715-51 (NH.Q2KER.002),799990,Acer,"15,6″ - 39,62 см",Intel® Core™ i7-7700HQ,2.8 ГГц,16 ГБ,512 ГБ,(NH.Q2KER.002),GeForce GTX 1060
s10,Ноутбук Lenovo Legion Y7000 I781T1SGN (81T0001DRK),499990,Lenovo,"15,6″ - 39,62 см",Intel® Core™ i7-9750H,2.6 ГГц,8 ГБ,HDD 1 Тб + SSD 128 Гб,(81T0001DRK),GeForce GTX 1650 Super
