id,title,price,brand,size,memory,ram,main_camera,front_camera,code2
s1,Планшет Samsung Galaxy Tab S6 10.5″ 128GB (SM-T865) Grey,239890,Samsung,"10,5″ - 26,67 см",128 Гб,6 ГБ,13+5 Mpx,8 Mpx,(SM-T865)
s2,Планшет Samsung Galaxy Tab A 10.1″ 32GB (SM-T515) Gold,89890,Samsung,"10,1"" - 25,65 см",32 Гб,2 ГБ,8 Mpx,5 Mpx,(SM-T515)
s3,Планшет Samsung Tab A 10.1″ 32GB (SM-T515) Black,89890,Samsung,"10,1"" - 25,65 см",32 Гб,2 ГБ,8 Mpx,5 Mpx,(SM-T515)
s4,Планшет Samsung Galaxy Tab A 8″ 32GB (SM-T295) Black,69890,Samsung,"8″ - 20,3 см",32 Гб,2 ГБ,8 Mpx,5 Mpx,(SM-T295)
s5,Планшет Samsung Galaxy Tab A 8″ 32GB Wi-Fi (SM-T290) Black,59890,Samsung,"8″ - 20,3 см",32 Гб,2 ГБ,8 Mpx,2 Mpx,(SM-T290)
s6,Планшет Apple iPad 10.2″ 32GB Wi-Fi (MW752) Silver,169990,Apple,"10,2″ - 25,9 см",32 Гб,2 ГБ,8 Mpx,"1,2 Mpx",(MW752)
s7,Планшет Samsung Galaxy Tab S5e 10.5″ 64GB (SM-T725) Black,149890,Samsung,"10,5″ - 26,67 см",64 Гб,4 ГБ,13 Mpx,8 Mpx,(SM-T725)
s8,Планшет Huawei MediaPad T3 10″ 16GB (AGS-L09) Gray,87890,Huawei,"9,6″ - 24,3 см",16 Гб,2 ГБ,5 Mpx,2 Mpx,(AGS-L09)
s9,Планшет Samsung Galaxy Tab S6 10.5″ 128GB (SM-T865) Rose Blush,239890,Samsung,"10,5″ - 26,67 см",128 Гб,6 ГБ,13+5 Mpx,8 Mpx,(SM-T865)
s10,Планшет Samsung Galaxy Tab S6 Lite 10.4″ 64GB (SM-P615) Blue,179890,Samsung,"10,4″ - 26.31 см",64 Гб,4 ГБ,8 Mpx,5 Mpx,(SM-P615)
s11,Планшет Huawei MediaPad T3 7″ 16GB (BG2-U01) Gray,49990,Huawei,,16 Гб,1 ГБ,5 Mpx,2 Mpx,(BG2-U01)
s12,Планшет Samsung Galaxy Tab A 8″ 32GB (SM-T295) Silver,69890,Samsung,"8″ - 20,3 см",32 Гб,2 ГБ,8 Mpx,2 Mpx,(SM-T295)
s13,"Планшет Apple iPad Pro 9,7″ (2016) 32GB WI-FI (A1674) Rose Gold",239990,Apple,"9,7″ - 24,6 см",32 Гб,2 ГБ,,,(A1674)
s14,Планшет Samsung Galaxy Tab A 8″ 32GB Wi-Fi (SM-T290) Silver,59890,Samsung,"8″ - 20,3 см",32 Гб,2 ГБ,8 Mpx,2 Mpx,(SM-T290)
s15,Планшет Apple iPad Pro 12.9″ (2015) 32GB Wi-Fi (ML0F2RK/A) Space Gray,317990,Apple,"12,9″ - 32,77 см",32 Гб,4 ГБ,,,(ML0F2RK/A)
