id,title,price,brand,size,resolution,smart_tv,wifi,3d
s1,LED телевизор Samsung UE55TU7100UXCE,228990,Samsung,"55″ - 139,7см",3840x2160 (4K UHD),Да,Есть (встроенный),Нет
s2,LED телевизор Samsung UE50TU7100UXCE,198990,Samsung,50″ - 127 см,3840x2160 (4K UHD),Да,Есть (встроенный),Нет
s3,QLED телевизор Samsung QE50Q60TAUXCE,299090,Samsung,50″ - 127 см,3840x2160 (4K UHD),Да,Есть (встроенный),Нет
s4,QLED телевизор Samsung QE55Q60TAUXCE,349090,Samsung,"55″ - 139,7см",3840x2160 (4K UHD),Да,Есть (встроенный),Нет
s5,LED телевизор Sony KDL32WD603,129990,Sony,"32″ - 81,3 см",1366x768 (HD),Да,Есть (встроенный),Нет
s6,LED телевизор Sony KDL40WD653,169990,Sony,"40″ - 101,6 см",1920х1080 (FullHD),Да,Есть (встроенный),Нет
s7,LED телевизор Haier LE24K6000S,54990,Haier,24″ - 61 см,1366x768 (HD),Нет,Нет,Нет
s8,LED телевизор Xiaomi 4A 32 Global L32M5-5ARU,84990,Xiaomi,"32″ - 81,3 см",1366x768 (HD),Да,Есть (встроенный),Нет
s9,LED телевизор Xiaomi 4S Global L55M5-5A,209990,Xiaomi,"55″ - 139,7см",3840x2160 (4K UHD),Да,Есть (встроенный),Нет
s10,LED TV LG 43LM5700PLA,154990,LG,"43″ - 109,2 см",1920х1080 (FullHD),Да,Есть (встроенный),
s11,LED телевизор Philips 50PUS7303/60,209990,Philips,50″ - 127 см,3840x2160 (4K UHD),Да,Есть (встроенный),Нет
s12,LED телевизор Philips 50PUS6704/60,179990,Philips,50″ - 127 см,3840x2160 (4K UHD),Да,Есть (встроенный),Нет
s13,LED телевизор Haier LE24K6500SA,69990,Haier,24″ - 61 см,1366x768 (HD),Да,Есть (встроенный),
s14,"LED телевизор Xiaomi 4S 43"" Global L43M5-5A",144990,Xiaomi,"43″ - 109,2 см",3840x2160 (4K UHD),Да,Есть (встроенный),Нет
s15,LED телевизор Samsung UE32N4500AUXCE,119990,Samsung,"32″ - 81,3 см",1366x768 (HD),Да,Есть (встроенный),
s16,LED телевизор ARG LD32C35GS358,59990,ARG,"31,5″ - 80 см",1366x768 (HD),Да,Есть (встроенный),Нет
s17,LED телевизор Haier LE43K6000SF,114990,Haier,"43″ - 109,2 см",1920х1080 (FullHD),Нет,Нет,Нет
s18,LED телевизор Sony KDL50WF665BR,219990,Sony,50″ - 127 см,1920х1080 (FullHD),Да,Есть (встроенный),
