,ID,Price,Name,Mark,Model,Size,Type,WiFi
0,f7068879,225 707,"Samsung QE50Q60TAUXCE 50""",Samsung, QE50Q60TAUXCE,"50""",QLED,Yes
1,f6222077,297 351,"Sony KD-43XF7005BR 43""",Sony, KD-43XF7005BR,"43""",ЖК-LED,Yes
2,f7107311,223 323,"TCL L65P8M 65""",TCL, L65P8M,"65""",ЖК-LED,Yes
3,f7009554,304 690,"Samsung UE65TU7100UXCE 65""",Samsung, UE65TU7100UXCE,"65""",ЖК-LED,Yes
4,f5410381,61 765,"Samsung LT24E310EX/CI 23.6""",Samsung, LT24E310EX/CI,"23.6""",ЖК-LED,Yes
5,f7083927,311 720,"Samsung QE50Q60TAUXCE 50""",Samsung, QE50Q60TAUXCE,"50""",QLED,Yes
6,f7107319,304 880,"Samsung UE70TU7100U 70""",Samsung, UE70TU7100U,"70""",ЖК-LED,Yes
7,f6879534,89 098,"Xiaomi Mi TV 4A 32 32""",Xiaomi, Mi TV 4A 32,"32""",ЖК-LED,Yes
8,f7083919,120 860,"Samsung UE32T4500AUXCE 32""",Samsung, UE32T4500AUXCE,"32""",ЖК,Yes
9,f6891659,225 206,"Xiaomi Mi TV 4S 55 55""",Xiaomi, Mi TV 4S 55,"55""",Smart TV,Yes
10,f7107332,368 837,"Samsung QE55Q70TAU 55""",Samsung, QE55Q70TAU,"55""",QLED,Yes
11,f6814685,186 700,"Samsung UE50NU7090UXCE 50""",Samsung, UE50NU7090UXCE,"50""",Smart TV,Yes
12,f7054905,162 090,"Skyworth 50G2A 49.5""",Skyworth, 50G2A,"49.5""",Smart TV,Yes
13,f7107337,282 179,"Samsung QE43LS01TAUXRU 43""",Samsung, QE43LS01TAUXRU,"43""",QLED,Yes
14,f6222037,594 822,"LG OLED55B8SLB 55""",LG, OLED55B8SLB,"55""",OLED,Yes
15,f6306834,74 930,"Saturn LED32HD900UST2 32""",Saturn, LED32HD900UST2,"32""",Smart TV,Yes
16,f7083840,472 500,"Samsung The Serif QE55LS01TAUXRU 55""",Samsung, The Serif QE55LS01TAUXRU,"55""",QLED,Yes
17,f6862846,152 977,"Toshiba 49U7750EV 49""",Toshiba, 49U7750EV,"49""",ЖК-LED,Yes
18,f7113603,107 500,"Skyworth 43E20S 43""",Skyworth, 43E20S,"43""",Smart TV,Yes
19,f6890132,178 170,"Mystery MTV-3223LT2 32""",Mystery, MTV-3223LT2,"32""",ЖК,Yes
20,f7075916,149 536,"Hisense 40A5600F 40""",Hisense, 40A5600F,"40""",ЖК-LED,Yes
21,f7068885,146 091,"Harper 49U750TS 49""",Harper, 49U750TS,"49""",ЖК-LED,Yes
22,f6699625,70 752,"TCL LED32S6500 HD 32""",TCL, LED32S6500 HD,"32""",Smart TV,Yes
23,f6889912,171 350,"JVC LT-32M345 32""",JVC, LT-32M345,"32""",ЖК,Yes
24,f7060798,201 593,"Hisense 43AE7400F 43""",Hisense, 43AE7400F,"43""",ЖК-LED,Yes
25,f6637785,41 090,"BQ 2401B 23.6""",BQ, 2401B,"23.6""",ЖК,Yes
26,f6337687,50 680,"Irbis 20S31HA301B 20""",Irbis, 20S31HA301B,"20""",ЖК-LED,Yes
27,f7008806,91 696,"Skyworth 40E20S 40""",Skyworth, 40E20S,"40""",Smart TV,Yes
28,f7107322,36 300,"Blackton 2201B 22""",Blackton, 2201B,"22""",ЖК-LED,Yes
29,f7148564,91 590,"Harper 43F660T 43""",Harper, 43F660T,"43""",ЖК-LED,Yes
30,f7148399,149 590,"Harper 49U750TS 49""",Harper, 49U750TS,"49""",ЖК-LED,Yes
31,f6893379,208 777,"Samsung UE55TU7100UXCE 55""",Samsung, UE55TU7100UXCE,"55""",Smart TV,Yes
32,f7113599,53 900,"Skyworth 32E20 32""",Skyworth, 32E20,"32""",ЖК-LED,Yes
33,f6893393,41 366,"BQ 2401B 23.6""",BQ, 2401B,"23.6""",ЖК,Yes
34,f6662441,58 048,"TCL LED32S6500 HD 32""",TCL, LED32S6500 HD,"32""",Smart TV,Yes
35,f6222052,267 604,"LG 50UK6410PLC 49.5""",LG, 50UK6410PLC,"49.5""",Smart TV,Yes
36,f6222098,50 732,"Changhong L32G5CT 32""",Changhong, L32G5CT,"32""",ЖК-LED,Yes
37,f6600332,139 550,"LG 43LM5700PLA 43""",LG, 43LM5700PLA,"43""",ЖК-LED,Yes
38,f6588235,54 470,"TCL LED32D3000 32""",TCL, LED32D3000,"32""",ЖК-LED,Yes
39,f7076147,83 040,"Toshiba 40S2850 40""",Toshiba, 40S2850,"40""",ЖК-LED,Yes
40,f5815757,155 835,"Ergo LE43CT2000AK 43""",Ergo, LE43CT2000AK,"43""",ЖК-LED,Yes
41,f6862611,136 472,"Xiaomi Mi TV 4S 43 43""",Xiaomi, Mi TV 4S 43,"43""",Smart TV,Yes
42,f6893371,205 643,"Samsung UE50TU8000UXCE 50""",Samsung, UE50TU8000UXCE,"50""",Smart TV,Yes
43,f6222123,1 189 762,"LG OLED65B8PLA 64.5""",LG, OLED65B8PLA,"64.5""",OLED,Yes
44,f6221746,951 786,"LG 75UK6750PLB 75""",LG, 75UK6750PLB,"75""",Not Found,No
45,f7110205,295 990,"Sony KD49XH8096BR 49""",Sony, KD49XH8096BR,"49""",ЖК-LED,Yes
46,f7150163,308 025,"Sony KD49XG7005BR 49""",Sony, KD49XG7005BR,"49""",ЖК-LED,Yes
47,f7149877,149 766,Harper 49U750TS,Harper, 49U750TS,,Not Found,Not Found
48,f7149158,186 470,Телевизор Sony KDL40WD653BR ST31111,Телевизор, Sony KDL40WD653BR ST31111,,Not Found,Not Found
49,f7149091,95 761,Harper 43F660T,Harper, 43F660T,,Not Found,Not Found
