,ID,Price,Name,Mark,Model,Size,Volume,Main camera
0,f7061926,167 400,Apple iPad mini 5 (2019) 64Gb Wi-Fi Silver,Apple, iPad mini 5 (2019),"экран 7.9""",встроенная память 64,камера 8Mpix
1,f6870966,451 000,Apple iPad Pro 11 (2020) 128Gb Wi-Fi + Cellular Space Gray,Apple, iPad Pro 11 (2020),"экран 11""",встроенная память 128,камера 12Mpix
2,f6153500,523 416,Apple iPad Pro 11 (2018) 256Gb Wi-Fi Space Gray,Apple, iPad Pro 11 (2018),"экран 11""",встроенная память 256,камера 12Mpix
3,f6153498,523 416,Apple iPad Pro 11 (2018) 64Gb Wi-Fi + Cellular Space Gray,Apple, iPad Pro 11 (2018),"экран 11""",встроенная память 64,камера 12Mpix
4,f7010083,170 590,Samsung Galaxy Tab S6 Lite 10.4 SM-P615 LTE 64Gb Blue,Samsung, Galaxy Tab S6 Lite 10.4 SM-P615 LTE,"экран 10.4""",встроенная память 64,камера 8Mpix
5,f6153427,523 416,Apple iPad Pro 11 (2018) 64Gb Wi-Fi + Cellular Silver,Apple, iPad Pro 11 (2018),"экран 11""",встроенная память 64,камера 12Mpix
6,f6633518,252 500,Apple iPad 10.2 (2019) 128Gb Wi-Fi + Cellular Space Gray,Apple, iPad 10.2 (2019),"экран 10.2""",встроенная память 128,камера 8Mpix
7,f6271058,167 400,Apple iPad mini 5 (2019) 64Gb Wi-Fi Space Gray,Apple, iPad mini 5 (2019),"экран 7.9""",встроенная память 64,камера 8Mpix
8,f5615258,52 765,Samsung Galaxy Tab A 7.0 SM-T280 8Gb белый,Samsung, Galaxy Tab A 7.0 SM-T280,"экран 7""",встроенная память 8,камера 5Mpix
9,f6604191,71 540,Acer Iconia One 10 16Gb White,Acer, Iconia One 10,"экран 10.1""",встроенная память 16,камера 5Mpix
10,f6621090,238 000,Apple iPad mini 5 (2019) 64Gb Wi-Fi + Cellular Space Gray,Apple, iPad mini 5 (2019),Not Found,встроенная память 64,камера 8Mpix
11,f6876950,66 490,Samsung Galaxy Tab A 8.0 SM-T295 LTE 32Gb Black,Samsung, Galaxy Tab A 8.0 SM-T295 LTE,"экран 8""",встроенная память 32,камера 8Mpix
12,f6153468,715 694,Apple iPad Pro 11 (2018) 512Gb Wi-Fi + Cellular Space Gray,Apple, iPad Pro 11 (2018),"экран 11""",встроенная память 512,камера 12Mpix
13,f7105048,225 000,Apple iPad 8th gen 10.2 (2020) 32Gb Wi-Fi + Cellular Space Gray,Apple, iPad 8th gen 10.2 (2020),"экран 10.2""",встроенная память 32,камера 8Mpix
14,f5907751,71 176,Samsung Galaxy Tab E 9.6 SM-T561N 8Gb чёрный,Samsung, Galaxy Tab E 9.6 SM-T561N,"экран 9.6""",встроенная память 8,камера 5Mpix
15,f6437377,207 600,Samsung Galaxy Tab S5e 10.5 SM-T725 64Gb Gold,Samsung, Galaxy Tab S5e 10.5 SM-T725,"экран 10.5""",встроенная память 64,камера 13Mpix
16,f7080191,378 400,Microsoft Surface Pro 7 i5 8GB 128GB With Type Cover,Microsoft, Surface Pro 7 i5,Not Found,Not Found,Not Found
