,ID,Price,Name,Mark,Model,Size,Volume,Main camera,Front camera,RAM
0,f7104919,404 681,Apple iPhone 12 128Gb,Apple, iPhone 12,"экран 6.1""",128Гб,12Mpix,12Mpix,4 Гб
1,f6573307,262 650,Apple iPhone 11 64Gb,Apple, iPhone 11,"экран 6.1""",64Гб,12Mpix,12Mpix,3 Гб
2,f6573308,282 040,Apple iPhone 11 128Gb,Apple, iPhone 11,"экран 6.1""",128Гб,12Mpix,12Mpix,4 Гб
3,f7054431,302 000,Samsung Galaxy Note20 8/256Gb,Samsung, Galaxy Note20,Not Found,Not Found,Not Found,Not Found,Not Found
4,f7141949,186 100,Apple iPhone SE (2020) 128Gb White,Apple, iPhone SE (2020),"экран 4.7""",128Гб,12Mpix,7Mpix,3 Гб
5,f6877444,168 000,Apple iPhone SE (2020) 64Gb Black,Apple, iPhone SE (2020),"экран 4.7""",64Гб,12Mpix,7Mpix,3 Гб
6,f6570503,262 700,Apple iPhone 11 64Gb Black,Apple, iPhone 11,"экран 6.1""",64Гб,12Mpix,12Mpix,4 Гб
7,f7110477,559 000,Apple iPhone 12 Pro 128Gb Pacific Blue,Apple, iPhone 12 Pro,"экран 6.1""",128Гб,12Mpix,12Mpix,6 Гб
8,f7055920,117 000,Samsung Galaxy A71 6/128Gb Crush Black,Samsung, Galaxy A71,"экран 6.7""",128Гб,64Mpix,32Mpix,6 Гб
9,f7081226,110 000,Xiaomi Redmi Note 9 Pro 6/128Gb черный,Xiaomi, Redmi Note 9 Pro,"экран 6.67""",128Гб,64Mpix,16Mpix,6 Гб
10,f7138117,305 000,Apple iPhone 11 128Gb черный,Apple, iPhone 11,"экран 6.1""",128Гб,12Mpix,12Mpix,4 Гб
11,f7104751,404 550,Apple iPhone 12 128Gb,Apple, iPhone 12,"экран 6.1""",128Гб,12Mpix,12Mpix,6 Гб
12,f6984148,114 850,Xiaomi Redmi Note 9 Pro 6/128Gb,Xiaomi, Redmi Note 9 Pro,"экран 6.67""",128Гб,64Mpix,16Mpix,6 Гб
13,f7096278,214 500,Samsung Galaxy S20 FE 6/128Gb Cloud Navy,Samsung, Galaxy S20 FE,"экран 6.5""",128Гб,12Mpix,32Mpix,6 Гб
14,f7106007,536 200,Apple iPhone 12 Pro 128Gb,Apple, iPhone 12 Pro,"экран 6.1""",128Гб,12Mpix,12Mpix,6 Гб
15,f7126491,653 000,Apple iPhone 12 Pro Max 256Gb,Apple, iPhone 12 Pro Max,"экран 6.7""",256Гб,12Mpix,12Mpix,6 Гб
16,f7106011,597 000,Apple iPhone 12 Pro 256Gb,Apple, iPhone 12 Pro,"экран 6.1""",256Гб,12Mpix,12Mpix,6 Гб
17,f7126494,597 700,Apple iPhone 12 Pro Max 128Gb,Apple, iPhone 12 Pro Max,"экран 6.7""",128Гб,12Mpix,12Mpix,6 Гб
18,f6722723,87 590,Samsung Galaxy A51 4/64Gb,Samsung, Galaxy A51,"экран 6.5""",64Гб,48Mpix,32Mpix,4 Гб
