Name;Price;Mark;prod_type;Size;OS;processor;frequency;RAM;Hard_type;Volume ;Videocard
Ноутбук Asus UX425EA-BM024T 14.0 FHD Intel® Core™ i7 1165G7/16Gb/SSD 512Gb/Pine Grey/Win10(90NB0SM1-M00260);499 990;Asus;ноутбук;14.0'';Windows 10; Core™ i7-1165G7;2,8;16 Гб;SSD;512 Гб;Intel
Ноутбук Omen by HP 15-dh1006ur 15.6 FHD Intel Core i7-10750H/16Gb/SSD 1000Gb/NVIDIA GeForce GTX 1660 TI-6Gb/Black/Dos (15F00EA#ACB);619 990;HP;ноутбук;15,6'';DOS; Core™ i7-10750H;2,6;16 Гб;SSD;1000 Гб;GeForce GTX 1660Ti
Ноутбук HP Envy 13.3 FHD 13-ba0005ur Intel Core i5-10210U/8Gb/SSD 512Gb/NVIDIA GeForce MX350 2Gb/Silver/Win10 (15C90EA#ACB);399 990;HP;ноутбук;13,3'';Windows 10; Core™ i5-10210U;1,6;16 Гб;SSD;512 Гб;GeForce MX250
Ноутбук Asus ROG Zephyrus G14 GA401IV-HE132T 14.0 FHD AMD Ryzen™ 7 4800HS/16Gb/SSD 1000Gb/NVIDIA®GeForceRTX™2060 -6Gb/Dos(90NR03F6-M10470);699 990;Asus;ноутбук;14.0'';DOS;Ryzen™ 7 4800HS;2,9;16 Гб;SSD;1000;GeForce RTX 2060
Ноутбук Acer SF314-57G 14.0FHD Intel® Core™ i3-1005G1/8Gb/SSD 512Gb/NVIDIA® GeForce® MX350-2Gb/Win10/Silver(NX.HU8ER.001);379 990;Acer;ноутбук;14.0'';Windows 10;Core™ i3-1005G1;1,2;8 Гб;SSD;512 Гб;GeForce® MX350
"Ноутбук Lenovo IP 3 14ADA05 14"" FHD AMD Ryzen™ 3-3250/8Gb/SSD 256Gb/Win10(81W000JFRK)";209 990;Lenovo;ноутбук;14.0'';Windows 10;Ryzen™ 3-3250;3,5;8Гб;SSD;256 Гб;AMD Radeon Graphics
Ноутбук Asus UX425JA-BM220T 14.0FHD Intel Core i3-1005G1/8Gb/512Gb SSD/Intel UHD Graphics/Grey/Win10 (90NB0QX1-M04810);999 990;Asus;ноутбук;14.0'';Windows 10; Core™ i3-1005G1;1,2;8 Гб;SSD;512 Гб;Intel UHD Graphics
Ноутбук Asus TUF Gaming F15 FX506LI-HN012 15.6 FHD Intel Core i5-10300H/8Gb/512Gb SSD/NVIDIA GeForce GTX 1650 Ti/Black/Dos (90NR03T2-M01550);999 990;Asus;ноутбук;15,6'';DOS; Core™ i3-10300H;2,5;8 Гб;SSD;512 Гб;GeForce GTX 1650Ti
Ноутбук Asus TUF Gaming F15 FX506LU-HN011 15.6FHD Intel Core i5-10300H/16Gb/512Gb SSD/NVIDIA GeForce GTX 1660Ti-6Gb/Gray/Dos (90NR0421-M01340);999 990;Asus;ноутбук;15,6'';DOS; Core™ i5-10300H;2,5;16 Гб;SSD;512 Гб;GeForce GTX 1660 Ti
Ноутбук Asus ROG Strix G15 G512LW-HN126 15.6 FHD Intel Core i7-10875H/16Gb/1000Gb SSD/NVIDIA GeForce RTX 2070-8Gb/Black/Dos (90NR0391-M02720);999 990;Asus;ноутбук;15,6'';DOS; Core™ i7-10875H;2,3;16 Гб;SSD;1000 Гб;GeForce RTX 2070
Ноутбук Asus D509DA-EJ051 15.6 FHD AMD Ryzen 5 3500U/8Gb/SSD 256Gb/Radeon Vega 8|/Silver/Dos (90NB0P51-M09820);999 990;Asus;ноутбук;"15.6""";DOS;Ryzen 5 3500U;2,1;8 Гб;SSD;256 Гб;AMD Radeon Vega 8 Graphics
Ноутбук Asus D509DA-EJ393 15.6 FHD AMD Ryzen 3 3250U/8Gb/SSD 256Gb/AMD Radeon Graphics/Grey/Dos (90NB0P52-M19040);999 990;Asus;ноутбук;"15.6""";DOS;Ryzen 3 3250U;2,6;8 Гб;SSD;256 Гб;AMD Radeon Graphics
Ноутбук Acer Nitro 5 AN515-44 15.6FHD AMD Ryzen™ 5 3550H/8Gb/512GB SSD/NVIDIA® GeForce® GTX 1650 4Gb/Dos(NH.Q6ZER.007);349 800;Acer;ноутбук;"15.6""";DOS;Ryzen 5 3550H;2,1;8 Гб;SSD;512 Гб;GeForce® GTX 1650
Ноутбук HP Envy x360 13-ay0005ur Touch 13.3 FHD AMD Ryzen™ 5 4500U/8Gb/SSD 512Gb/Nightfall black /Win10 (15C85EA);394 890;HP;ноутбук;"13.3""";Windows 10;Ryzen™ 5 4500U;2,3; 8 Гб;SSD;512 Гб;AMD Radeon
Ноутбук Acer SF314-57 14,0FHD Intel Core i3 1005G1/8Gb/SSD 512Gb/Win10 (NX.HJ7ER.002);319 990;Acer;ноутбук;14.0'';Windows 10;Core i3-1005G1;1,2;8 Гб;SSD;512 Гб;Intel UHD Graphics
Ноутбук HP Gaming Pavilion 15-ec0058ur 15,6FHD AMD Ryzen™ 5 3550H/8Gb/SSD 512Gb/NVIDIA® GeForce® GTX 1650 4 Gb/Dos/(1U3B2EA#ACB);339 990;HP;ноутбук;"15.6""";DOS;Ryzen™ 5-3550H;2,1;8 Гб;SSD;512 Гб;GeForce GTX 1650
Ноутбук Acer Nitro 5 AN515-55 15.6FHD Intel Core i5-10300H/8Gb/512GB SSD/NVIDIA GeForce® GTX 1650 4Gb/Dos (NH.Q7MER.005);369 790;Acer;ноутбук;"15.6""";DOS;Core i5-10300H;2,5;8 Гб;SSD;512 Гб;GeForce GTX 1650
Ноутбук Acer A715-75G 15,6 FHD Intel Core i7-9750H/16Gb/SSD 512Gb/NVIDIA GeForce GTX 1650 4Gb/Dos (NH.Q87ER.00F);439 490;Acer;ноутбук;"15.6""";DOS;Core i7-9750H;2,6;16 Гб;SSD;512 Гб;GeForce GTX 1650
Ноутбук Lenovo S145-15IIL 15.6FHD Intel Core i3 8145U/4Gb/1000Gb/GeForce MX110 2Gb/Win10(81MV017ARU);239 990;Lenovo;ноутбук;"15.6""";Windows 10;Core i3-8145U;2,1;4 Гб;HDD;1000 Гб;GeForce MX110
Ноутбук Lenovo Legion 7 15IMH05 15.6FHD Intel® Core™ i7 10750H/32Gb/SSD 1Tb/NVIDIA® GeForce® RTX  2070SP 8Gb/Dos(81YT0068RK);999 900;Lenovo;ноутбук;"15.6""";DOS;Core i7-10750H;2,6;32 Гб;SSD;1024 Гб; GeForce® RTX 
Ноутбук Lenovo Legion5 15IMH05H 15,6FHD 144Hz Intel® Core™ i5-10300H/16Gb/SSD 1000GB/NVIDIA® GeForce® GTX 1660 TI-6Gb/Dos/(81Y600MHRK);559 990;Lenovo;ноутбук;"15.6""";DOS;Core i5-10300H;2,5;16 Гб;SSD;1000 Гб;GeForce® GTX 1660 TI
"Ноутбук Lenovo Legion7 15IMH05 15.6"" FHD 144Hz Intel® Core™ i7-10750/32Gb/SSD 1000Gb/NVIDIA® GeForce® RTX 2080SP-8Gb/Dos(81YT008TRK)";1 390 000;Lenovo;ноутбук;"15.6""";DOS;Core i7-10750H;2,6;32 Гб;SSD;1024 Гб; GeForce® RTX 2080SP
Ноутбук Acer PH315-53 15,6 FHD Intel® Core™ i5-10300H/16Gb/SSD 1024Gb/NVIDIA® GeForce® RTX 2060 6Gb/Dos(NH.Q7YER.007);669 990;Acer;ноутбук;"15.6""";DOS;1Core i5-0300H;2,5;16 Гб;SSD;1024 Гб;GeForce RTX 2060
Ноутбук HP  Probook 430 G7 13.3 FHD Intel® Core™ i5 10210U/8Gb/SSD 256Gb/Win10(8MG86EA);379 990;HP;ноутбук;"13.3""";Windows 10;Core™ i5 10210U;1,6;8 Гб;SSD;256 Гб;Intel UHD Graphics
Ноутбук HP  Probook 430 G7 13.3 FHD Intel® Core™ i7 10510U/8Gb/SSD 512Gb/Win10(8MG89EA);479 990;HP;ноутбук;"13.3""";Windows 10;Core™ i7 10510U;1,8;8 Гб;SSD;512 Гб;Intel UHD Graphics
Ноутбук HP  Probook 430 G7 13.3 FHD Intel® Core™ i5 10210U/8Gb/SSD 256Gb/Dos(8VT51EA);319 999;HP;ноутбук;"13.3""";DOS;Core™ i5 10210U;1,6;8 Гб;SSD;256 Гб;Intel UHD Graphics
Ноутбук HP  Probook 430 G7 13.3 FHD Intel® Core™  i7 10510U/8Gb/SSD 256Gb/Win10(8VT58EA);459 990;HP;ноутбук;"13.3""";Windows 10;Core™ i7 10510U;1,8;8 Гб;SSD;256 Гб;Intel UHD Graphics
Ноутбук Lenovo IdeaPad 3 15ADA05 15.6FHD AMD Ryzen™ 3 3250U/8Gb/SSD 256Gb/Dos/Platinum Gray(81W100H2RK);169 990;Lenovo;ноутбук;"15.6""";DOS;Ryzen™ 3 3250U;2.6 ГГц;8 Гб;SSD;256 Гб;AMD
Ноутбук Lenovo IdeaPad Gaming 3 15IMH05 15.6FHD Intel® Core™ i5 10300H/8GB/SSD 512Gb/GeForce® GTX 1650-4Gb/Dos(81Y400MPRK);349 990;Lenovo;ноутбук;"15.6""";DOS;Core™ i5-10300H;2.5 ГГц;8 Гб;SSD;512 Гб;GeForce® GTX 1650
Ноутбук Lenovo  IdeaPad 5 14ARE05 14.0FHD AMD Ryzen™ 5 4500U/8Gb/SSD 256Gb/Win10/Platinum Gray(81YM00A6RK);259 990;Lenovo;ноутбук;14.0'';Windows 10;Ryzen™ 5 4500U;2.3 ГГц;8 Гб;SSD;256 Гб;AMD Radeon Graphics
Ноутбук HP Envy Touch x360 15-ed0028ur 15.6 FHD Intel® Core™ i7-1065G7/8Gb/SSD 1000Gb/Black/Win10(28Q64EA#ACB);515 990;HP ;ноутбук;"15.6""";Windows 10; Core™ i7-1065G7;1,3;8 Гб;SSD;1000 Гб;Intel Iris Plus
Ноутбук Envy 17-cg0003ur 17.3 UHD Intel® Core™ i7-1065G7/16Gb/1000Gb SSD/NVIDIA®GeForceMX™330-4Gb/Silver/Win10(15D60EA#ACB);677 890;HP;ноутбук;17,3'';Windows 10; Core™ i7-1065G7;1.3 ГГц;16 Гб;SSD;1000 Гб;GeForceMX™330
Ноутбук OMEN by HP 15-dh1012ur 15.6 FHD Intel® Core™ i7-10750H/16Gb/SSD 1000Gb/NVIDIA®GeForceRTX™2070 Super-8Gb/Dos(15C48EA#ACB);847 990;HP;ноутбук;"15.6""";DOS; Core™ i7-10750H;2.6 ГГц;16 Гб;SSD;1000 Гб;дискретный
"Ноутбук Lenovo Legion 5 15IMH05 15.6"" FHD 144Hz Intel® Core™ i5-10300H/16Gb/SSD 1000Gb/NVIDIA® GeForce® GTX 1650TI-4Gb/Dos(82AU00K5RK)";499 990;Lenovo;ноутбук;"15.6""";DOS; Core™ i5-10300H;2,5;16 Гб;SSD;1000 Гб;NVIDIA® GeForce® GTX 1650TI
Ноутбук Lenovo Legion Y540-15IRH 15.6FHD Intel Core i5 9300H 2.4Ghz/16Gb/SSD 1000Gb/GTX 1660Ti 6Gb/Dos(81SX015LRK);479 990;Lenovo;ноутбук;"15.6""";DOS; Core™ i5 9300H;2,4;16 Гб;SSD;1000 Гб;GeForce GTX 1660 Ti
Ноутбук Lenovo IP 3 15ADA05 15.6FHD AMD Ryzen™ 5 3500U/8Gb/SSD 256Gb/Dos/Platinum Gray(81W1003WRK);239 990;Lenovo;ноутбук;"15.6""";DOS; Ryzen™ 5 3500U;3,7;8 Гб;SSD;256 Гб;AMD Radeon Vega 8 Graphics
Ноутбук Lenovo S145-14IIL 14.0FHD Intel® Core™ i5 1035G1/8Gb/SSD 256 Gb/Win10/Grey(81WD00N3RK);279 990;Lenovo;ноутбук;14.0'';Windows 10; Core™ i5 1035G1;3,6;8 Гб;;256 Гб;Intel UHD Graphics
Ноутбук Lenovo IdeaPad Gaming 3 15IMH05 15.6FHD Intel® Core™ i7 10750H/16GB/SSD 512Gb/GeForce® GTX 1650Ti 4Gb/Dos(81Y400P3RK);439 990;Lenovo;ноутбук;"15.6""";DOS; Core™ i7-10750H;2,6;16 Гб;SSD;512 Гб;GeForce GTX 1650Ti
Ноутбук Lenovo IdeaPad Gaming 3 15IMH05 15.6FHD Intel® Core™ i5 10300H/16GB/SSD 512Gb/GeForce® GTX 1650Ti 4Gb/Dos(81Y400P2RK);389 990;Lenovo;ноутбук;"15.6""";DOS; Core™ i5-10300H;4,5;16 Гб;SSD;512 Гб;GeForce® GTX 1650Ti
Ноутбук Lenovo Yoga C640-13IML 13,3 FHD IPS Intel® Core™ i5-1021U/8Gb/SSD 512Gb/Win10/(81UE005TRK);449 990;Lenovo;ноутбук;13,3'';Windows 10; Core™ i5-10210U;1,6;8 Гб;SSD;512 Гб;Intel UHD Graphics
Ноутбук HP Gaming Pavilion 16-a0003ur 16.1 FHD Intel® Core™ i5-10300H/8Gb/SSD 1000Gb/NVIDIA® GeForce®GTX1650Ti-4Gb/Black/Dos(15D19EA#ACB);399 990;HP;ноутбук;16,1'';DOS; Core™ i5-10300H;2,5;8 Гб;SSD;1000 Гб;GeForce GTX 1650Ti
Ноутбук Asus TUF Gaming FX505GT-HN101 15.6FHD 144Hz Intel® Core™ i5-9300H/8Gb/SSD 512Gb/NVIDIA® GeForce® GTX 1650-4Gb/Blac/Dos(90NR02M2-M03250);379 990;Asus;ноутбук;"15.6""";DOS;Core™ i5-9300H;2,4;8 Гб;SSD;512 Гб;GeForce GTX 1650
Ноутбук Asus ROG Strix G17 G712LW-EV037 17.3FHD 144Hz Intel® Core™ i7-10875H/16Gb/SSD 1000Gb/NVIDIA® GeForce RTX™ 2070-8Gb/Black/Dos(90NR03E1-M01740);799 990;Asus;ноутбук;17,3'';DOS; Core™ i7-10875H;;16 Гб;SSD;1000 Гб;NVIDIA® GeForce RTX™ 2070
Ноутбук Asus TUF Gaming FX505DT-BQ018 15.6 FHD Intel® Core™ i5-9300H/8Gb/SSD 512Gb/NVIDIA® GeForce® GTX 1650 4Gb/Black/Dos(90NR02M2-M00980);379 990;Asus;ноутбук;15,6'';DOS;Core™ i5-9300H;2,4;8 Гб;SSD;512 Гб;Nvidia GeForce GTX 1650
Ноутбук Asus TUF Gaming A15 FA506IV-HN215 15.6FHD 144Hz AMD Ryzen™ 7 4800H/16Gb/SSD 512Gb/NVIDIA® GeForce RTX™ 2060-6Gb/Gray/Dos(90NR03L1-M05150);579 990;Asus;ноутбук;15,6'';DOS;Ryzen™ 7 4800H;2,9;16 Гб;SSD;512 Гб;GeForce RTX 2060
Ноутбук Asus TUF Gaming FX505DT-HN484 15.6FHD 144Hz AMD Ryzen™ 5 3550H/8Gb/SSD 512Gb/NVIDIA® GeForce® GTX 1650-4Gb/Gold/Dos(90NR02D1-M12900);336 990;Asus;ноутбук;15,6'';DOS;Ryzen™ 5 3550H;2,1;8 Гб;SSD;512 Гб;Nvidia GeForce GTX 1650
Ноутбук Asus TUF Gaming A15 FA506II-HN258 15.6FHD 144Hz AMD Ryzen™ 7 4800H/16Gb/SSD 512Gb/NVIDIA® GeForce® GTX 1650 Ti-4Gb/Black/Dos(90NR03M2-M06760);459 990;Asus;ноутбук;15,6'';DOS;Ryzen™ 7 4800H;;16 Гб;SSD;512 Гб;NVIDIA® GeForce® GTX 1650 Ti
Ноутбук Asus TUF Gaming FX505DT-HN503 15.6 FHD 144Hz AMD Ryzen™ 7 3750H/16Gb/SSD 512Gb/NVIDIA® GeForce® GTX 1650/Gold/Dos(90NR02D1-M12530);379 990;Asus;ноутбук;15,6'';DOS;Ryzen™ 7 3750H;4.0;16 Гб;SSD;512 Гб;GeForce GTX 1650
Ноутбук Lenovo Legion Y540-15IRH 15.6FHD Intel Core i5 9300H 2.4Ghz/8Gb/SSD 512Gb/RTX2060 6Gb/Dos(81SX00NCRK);485 890;Lenovo;ноутбук;15,6'';DOS;Core i5 9300H;2,4;8 Гб;SSD;1000 Гб;GeForce® GTX 1660Ti 
Ноутбук Asus TUF Gaming FX505DT-HN502 15.6 FHD 144Hz AMD Ryzen™ 5 3550H/16Gb/SS 512Gb/NVIDIA® GeForce® GTX 1650-4Gb/Gold/Dos(90NR02D1-M12520);359 990;Asus;ноутбук;15,6'';DOS;Ryzen™ 5 3550H;2,1;16 Гб;SSD;512 Гб;Nvidia GeForce GTX 1650
Ноутбук Asus TUF Gaming A15 FA506IU-HN148 15.6 FHD 144Hz AMD Ryzen™ 7 4800H/16Gb/SSD 1000Gb/NVIDIA® GeForce® GTX 1660Ti-6Gb/Gray/Dos(90NR03N1-M06740);559 990;Asus;ноутбук;15,6'';DOS; Ryzen™ 7 4800H;2,9;16 Гб;SSD;1000 Гб;GeForce GTX 1660 Ti
Ноутбук Asus TUF Gaming FX505DT-HN482 15.6 FHD 144Hz AMD Ryzen™ 7 3750H/8Gb/SSD 512Gb/SSD 512Gb/NVIDIA® GeForce® GTX 1650 4Gb/Gold/Dos(90NR02D1-M12320);349 890;Asus;ноутбук;15,6'';DOS;Ryzen™ 7 3750H;2,3;8 Гб;SSD;512 Гб;NVIDIA® GeForce® GTX 1650
Ноутбук Asus ROG Strix G15 G512LU-HN093 15.6 FHD 144Hz Intel® Core™ i7-10750H/16Gb/SSD 512Gb/NVIDIA® GeForce® GTX 1660Ti 6Gb/Black/Dos/(90NR0351-M02900);549 890;Asus;ноутбук;15,6'';DOS;Core™ i7-10750H;;16 Гб;SSD;512 Гб;NVIDIA® GeForce® GTX 1660Ti 
