Name;Price;Mark;Model;prod_type;Size;OS;RAM;Volume;main_camera;front_camera;videoshoot_format;videoshoot_resolution
Смартфон OPPO Reno 4 Pro, Starry Night;349 990;Oppo;Reno 4 Pro;смартфон;6.5'';Android 10;8 Гб;256 Гб;48+8+2+2;32;4К UHD Full HD;3840x2160
Смартфон OPPO Reno 4 Lite, Magic Blue;179 990;Oppo;Reno 4 Lite;смартфон;6.4'';Android 10;8 Гб;128 Гб;48+8+2+2;16+2;4К UHD;3840x2160
Смартфон OPPO Reno 4 Lite, Matte Black;179 990;Oppo;Reno 4 Lite;смартфон;6.4'';Android 10;8 Гб;128 Гб;48+8+2+2;16+2;4К UHD;3840x2160
Смартфон iPhone 12 128GB (PRODUCT)RED;524 990;Apple;iPhone 12;смартфон;"6.1""";iOS 14;;128 Гб;12+12;12;4K;3840x2160
Смартфон iPhone 12 64GB Green;494 990;Apple;iPhone 12;смартфон;"6.1""";iOS 14;;64 Гб;12+12;12;4K;3840x2160
Смартфон iPhone 12 64GB Blue;494 990;Apple;iPhone 12;смартфон;"6.1""";iOS 14;;64 Гб;12+12;12;4K;3840x2160
Смартфон iPhone 12 64GB (PRODUCT)RED;494 990;Apple;iPhone 12;смартфон;"6.1""";iOS 14;;64 Гб;12+12;12;4K;3840x2160
Смартфон Xiaomi Redmi Note 9 64GB (Onyx Black) Чёрный;89 990;Xiaomi;Redmi Note 9;смартфон;6.53'';Android 10;3 Гб;64 Гб;48+8+2+2;13;;
Смартфон Xiaomi Redmi 9A 32GB, Granite Gray;43 990;Xiaomi;Xiaomi Redmi 9A;смартфон;6.53'';Android 10;2 Гб;32 Гб;13;5;;
Смартфон Xiaomi Redmi 9C 64GB, Sunrise Orange;54 990;Xiaomi;Xiaomi Redmi 9C;смартфон;6.53'';Android 10;3 Гб;64 Гб;13+2+2;5.0;;
Смартфон OPPO A53 128GB, Fancy Blue;119 990;Oppo;A53;смартфон;"6.5""";Android 10;4 Гб;128 Гб;13+2+2;8;Full HD;1920x1080
Смартфон OPPO A53 128GB, Mint Cream;119 990;Oppo;A53;смартфон;"6.5""";Android 10;4 Гб;128 Гб;13+2+2;8;Full HD;1920x1080
Смартфон OPPO A53 128GB, Electric Black;119 990;Oppo;A53;смартфон;"6.5""";Android 10;4 Гб;128 Гб;13+2+2;8;Full HD;1920x1080
Смартфон OPPO A53 64GB, Fancy Blue;89 790;Oppo;A53;смартфон;"6.5""";Android 10;4 Гб;64 Гб;13+2+2;8;Full HD;1920x1080
Смартфон OPPO A53 64GB, Mint Cream;89 790;Oppo;A53;смартфон;"6.5""";Android 10;4 Гб;64 Гб;13+2+2;8;Full HD;1920x1080
Смартфон OPPO A53 64GB, Electric Black;89 790;Oppo;A53;смартфон;"6.5""";Android 10;4 Гб;64 Гб;13+2+2;8;Full HD;1920x1080
Смартфон Realme 6 Pro (8/128), Red;129 890;RealMe;Realme 6 Pro;смартфон;"6.6""";Android ;8 Гб;256 Гб;широкоугольная 64 МП F/1.80, 12 МП F/2.50, сверхширокоугольная 8 МП F/2.30, макро 2 МП ;16 МП;;3840x2160
Смартфон Xiaomi Redmi Note 9 128GB, Onyx Black;99 990;Xiaomi;Redmi Note 9;смартфон;6.53'';Android 10;4 Гб;128 Гб;48+8+2+2;13;Full HD;1920x1080
Смартфон Xiaomi Redmi 9 64GB, Sunset Purple;74 990;Xiaomi;Redmi 9;смартфон;6.53'';Android 10;4 Гб;64 Гб;13+8+5+2;8;Full HD;1920x1080
Смартфон Xiaomi Redmi 9 64GB, Ocean Green;74 990;Xiaomi;Redmi 9;смартфон;6.53'';Android 10;4 Гб;64 Гб;13+8+5+2;8;Full HD;1920x1080
Смартфон Xiaomi Redmi 9C 64GB, Midnight Gray;54 990;Xiaomi;9C;смартфон;6.53'';Android 10;3 Гб;64 Гб;13+2+2;5;;
Смартфон Xiaomi Redmi 9 32GB Sunset Purple;69 990;Xiaomi;Redmi 9;смартфон;6.53'';Android ;3 Гб;32 Гб;13+8+5+2;8;Full HD;1920x1080
Смартфон Xiaomi Redmi 9 32GB Ocean Green;69 990;Xiaomi;Redmi 9;смартфон;6.53'';Android ;3 Гб;32 Гб;13+8+5+2;8;Full HD;1920x1080
Смартфон Xiaomi Redmi 9 32GB Carbon Grey;69 990;Xiaomi;Redmi 9;смартфон;6.53'';Android ;3 Гб;32 Гб;13+8+5+2;8;Full HD;1920x1080
Смартфон Xiaomi Redmi Note 9 128GB Midnight Grey;99 990;Xiaomi;Redmi Note 9;смартфон;6.53'';Android ;4 Гб;128 Гб;48+8+2+2;13;4K ULTRA HD;3840x2160
Смартфон Xiaomi Redmi 9C 64GB, Twilight Blue;54 990;Xiaomi;9C;смартфон;6.53'';Android 10;3 Гб;64 Гб;13+2+2;5;;
Смартфон Xiaomi Redmi 9A 32GB, Sky Blue;43 990;Xiaomi;9A;смартфон;6.53'';Android 10;2 Гб;32 Гб;13;5;;
Смартфон Samsung Galaxy A51 128GB Silver;139 890;Samsung;A51;смартфон;"6.5""";Android 9.0;6 Гб;128 Гб;48 + 12 + 5 + 5;32;;3840x2160
Смартфон Samsung Galaxy A51 64GB Silver;119 890;Samsung;A51;смартфон;"6.5""";Android 9.0;4 Гб;64 Гб;48+ 12 + 5 + 5;32;;3840x2160
Смартфон Vivo X50 Pro Alpha Grey;299 790;Vivo;X50 Pro;смартфон;"6.6""";Android 10;8 Гб;256 Гб;48 + 13 + 8 + 8;32;4К UHD;3840x2160
Смартфон Vivo X50 Frost Blue;179 990;Vivo;X50;смартфон;"6.6""";Android 10;8 Гб;128 Гб;48 + 13 + 8 + 5;32;4К UHD;3840x2160
Смартфон Vivo X50 Glaze Black;179 990;Vivo;X50;смартфон;"6.6""";Android 10;8 Гб;128 Гб;48 + 13 + 8 + 5;32;4К UHD;3840x2160
Смартфон Realme C11, Green (2/32Gb);52 890;RealMe;C11;смартфон;"6.5""";Android 10;2 Гб;32 Гб;13+2;5;;1920x1080
Смартфон Samsung Galaxy Note20 Ultra, Brown;584 890;Samsung;Galaxy Note20 Ultra;смартфон;"6.9""";Android 10;8 Гб;256 Гб;12+12+108;10;8К ;
Смартфон Samsung Galaxy Note20 Ultra, Black;584 890;Samsung;Galaxy Note20 Ultra;смартфон;"6.9""";Android 10;8 Гб;256 Гб;12+12+108;10;8К ;
Смартфон Samsung Galaxy Note20 Green;459 890;Samsung;Galaxy Note20 (SM-N980FZGGSKZ);смартфон;"6.7""";Android 9.0;8 Гб;256 Гб;12+12+64;10;;
Смартфон Samsung Galaxy Note20 Gray;459 890;Samsung;Galaxy Note20 (SM-N980FZAGSKZ);смартфон;"6.7""";Android 9.0;8 Гб;256 Гб;12+12+64;10;;
Смартфон Samsung Galaxy S20 FE, Red;299 890;Samsung;Galaxy S20 FE;смартфон;"6.5""";Android 10;6 Гб;128 Гб;12+12+8 Мп;32;Ultra HD 4K;4096 x 2048
Смартфон Samsung Galaxy S20 FE, Green;299 890;Samsung;Galaxy S20 FE;смартфон;"6.5""";Android 10;6 Гб;128 Гб;12+12+8 Мп;32;Ultra HD 4K;4096 x 2048
Смартфон Samsung Galaxy S20 FE, Navy;299 890;Samsung;Galaxy S20 FE;смартфон;"6.5""";Android 10;6 Гб;128 Гб;12+12+8 Мп;32;Ultra HD 4K;4096 x 2048
Смартфон Samsung Galaxy S20 FE, Lavender;299 890;Samsung;Galaxy S20 FE;смартфон;"6.5""";Android 10;6 Гб;128 Гб;12+12+8 Мп;32;Ultra HD 4K;4096 x 2048
Смартфон Samsung Galaxy S20 plus BTS Edition, Purple;399 890;Samsung;Galaxy S20 plus BTS Edition;смартфон;"6.7""";Android 10;8 Гб;128 Гб;64+12+12;10;4K;3840x2160
Смартфон Samsung Galaxy Note 20 Brown;459 890;Samsung;Galaxy Note20;смартфон;"6.7""";Android 9.0;8 Гб;256 Гб;12+12+64;10;;
Смартфон Samsung Galaxy Note20 Ultra, White;584 890;Samsung;Galaxy Note20 Ultra;смартфон;"6.9""";Android 10;8 Гб;256 Гб;12+12+108;10;8К ;
Смартфон Xiaomi Redmi Note 9 Pro 64GB Tropical Green;119 990;Xiaomi;Redmi Note 9 Pro;смартфон;"6.67""";Android 10;6 Гб;64 Гб;64+8+5+2;16;4К UHD;3840x2160
Смартфон Xiaomi Redmi Note 9 128GB Polar White;99 990;Xiaomi;Redmi Note 9;смартфон;6.53'';Android 10;4 Гб;128 Гб;48+8+2+2;13;4К UHD;3840x2160
Смартфон Xiaomi Redmi Note 9S 128GB Aurora Blue;109 990;Xiaomi;Note 9S;смартфон;"6.7""";Android 10;6 Гб;128 Гб;48+8+5+2;16;4К UHD;3840x2160
Смартфон Xiaomi Mi Note 10 Lite 64GB Midnight Black;169 990;Xiaomi;Mi Note 10 Lite;смартфон;"6.47""";Android 10;6 Гб;64 Гб;64+8+5+2;16;4К UHD;3840x2160
Смартфон Xiaomi Mi Note 10 Lite 128GB Nebula Purple;179 990;Xiaomi;Mi Note 10 Lite;смартфон;"6.47""";Android 10;6 Гб;128 Гб;64+8+5+2;16;4К UHD;3840x2160
Смартфон Samsung Galaxy A01 Core, Red;34 890;Samsung;A01 Core;смартфон;"5.3""";Android 10;1 Гб;16 Гб;8;5;Full HD;1920x1080
Смартфон Samsung Galaxy A01 Core Black;34 890;Samsung;A01 core;смартфон;"5.3""";Android 10;1 Гб;16 Гб;8;5;Full HD;1920x1080
Смартфон Samsung Galaxy A01 Core Blue;34 890;Samsung;A01 core;смартфон;"5.3""";Android 10;1 Гб;16 Гб;8;5;Full HD;1920x1080
Смартфон OPPO A12 4/64Gb, Blue;64 990;Oppo;A12;смартфон;"6.22""";Android 9.0;4 Гб;64 Гб;13+2;5;Full HD;1920x1080
Смартфон OPPO A12 4/64Gb, Black;64 990;Oppo;A12;смартфон;"6.22""";Android 9.0;4 Гб;64 Гб;13+2;5;Full HD;1920x1080
Смартфон Realme X3 Super Zoom 8/128Gb (White);199 890;RealMe;X3 Super Zoom;смартфон;"6.6""";Android 10;8 Гб;128 Гб;64+8+8+2;32+8;4К UHD;3840x2160
Смартфон Realme X3 Super Zoom 8/128Gb (Blue);199 890;RealMe;X3 Super Zoom;смартфон;"6.6""";Android 10;8 Гб;128 Гб;64+8+8+2;32+8;4К UHD;3840x2160
Смартфон Xiaomi Redmi Note 9 4/128GB (Forest Green);99 990;Xiaomi;Redmi Note 9;смартфон;6.53'';Android 10;4 Гб;128 Гб;48+8+2+2;13;4К UHD;3840x2160
Смартфон Xiaomi Redmi Note 9S 6/128GB (Interstellar Grey);109 990;Xiaomi;Redmi Note 9S;смартфон;"6.67""";Android 10;6 Гб;128 Гб;48+8+5+2;16;4К UHD;3840x2160
Смартфон Xiaomi Redmi Note 9S 6/128GB (Glacier White);109 990;Xiaomi;Redmi Note 9S;смартфон;"6.67""";Android 10;6 Гб;128 Гб;48+8+5+2;16;4К UHD;3840x2160
Смартфон Xiaomi Redmi Note 9 Pro 6/64GB (Glacier White);119 990;Xiaomi;Redmi Note 9 Pro;смартфон;"6.67""";Android 10;6 Гб;64 Гб;64+8+5+2;16;4К UHD;3840x2160
Смартфон Vivo Y30, Dazzle Blue;84 790;Vivo;Y30;смартфон;"6.47""";Android 10;4 Гб;64 Гб;13 + 8 + 2 + 2;8;Full HD;1920x1080
Смартфон Vivo Y30, Emerald Black;84 790;Vivo;Y30;смартфон;"6.47""";Android 10;4 Гб;64 Гб;13 + 8 + 2 + 2;8;Full HD;1920x1080
Смартфон OPPO A12, Blue;54 990;Oppo;A12;смартфон;"6.2""";Android 10;3 Гб;32 Гб;13;5.0;Full HD;1920x1080
Смартфон OPPO A12, Black;54 990;Oppo;A12;смартфон;"6.2""";Android 10;3 Гб;32 Гб;13;5.0;Full HD;1920x1080
Смартфон Realme 6 Pro 8/128Gb Blue;129 890;RealMe;6 Pro;смартфон;"6.6""";Android 10;8 Гб;128 Гб;64+12+8+2;16+8;Ultra HD 4K, Full HD, HD;3840x2160
Смартфон iPhone SE 2020 128Gb, Red;269 890;Apple;SE 2020;смартфон;"4.7""";iOS;3 Гб;128 Гб;12 Мп;7 Мп;HD;
Смартфон OPPO A72 4/128Gb Aurora Purple;119 990;Oppo;A72;смартфон;"6.5""";Android 10;4 Гб;128 Гб;48+8+2+2;16;Ultra HD 4K;3840x2160
Смартфон OPPO A72 4/128Gb Shining White;119 990;Oppo;A72;смартфон;"6.5""";Android 10;4 Гб;128 Гб;48+8+2+2;16;Ultra HD 4K;3840x2160
