Name;Price;Mark;Model;prod_type;Size;Resolution;Smart_tv;Wifi
Телевизор Samsung QE85Q80TAUXCE Smart 4K UHD QLED;1 349 490;Samsung;QE85Q80TAUXCE;телевизор;"85""";3840x2160;есть;есть
Телевизор Samsung QE75Q80TAUXCE Smart 4K UHD QLED;989 190;Samsung;QE75Q80TAUXCE;телевизор;"75""";3840x2160;есть;есть
Телевизор Samsung The Frame QE32LS03TBKXRU Smart 4K UHD QLED;224 590;Samsung;The Frame QE32LS03TBKXRU;телевизор;"32""";1920х1080;есть;есть
Телевизор Samsung QE65Q70TAUXCE Smart 4K UHD;494 190;Samsung;QE65Q70TAUXCE;телевизор;"65""";3840x2160;есть;есть
Телевизор TCL L65P8M Android 4K UHD;283 390;TCL;L65P8M;телевизор;"65""";3840x2160;есть;есть
Телевизор SAMSUNG UE50TU7500UXCE Smart 4K UHD;197 190;Samsung;UE50TU7500UXCE;телевизор;"50""";3840x2160;есть;есть
Телевизор SAMSUNG UE43TU7500UXCE Smart 4K UHD;174 690;Samsung;UE43TU7500UXCE;телевизор;"43""";3840x2160;есть;есть
Телевизор SAMSUNG UE75TU7100UXCE Smart 4K UHD;404 190;Samsung;UE75TU7100UXCE;телевизор;"75""";3840x2160;есть;есть
Телевизор SAMSUNG UE70TU7100UXCE Smart 4K UHD;350 190;Samsung;UE70TU7100UXCE;телевизор;"70""";3840x2160;есть;есть
Телевизор SAMSUNG UE75TU8000UXCE Smart 4K UHD;467 190;Samsung;UE75TU8000UXCE;телевизор;"75""";3840x2160;есть;есть
Телевизор SAMSUNG QE55Q70TAUXCE Smart 4K UHD QLED;377 190;Samsung;QE55Q70TAUXCE;телевизор;"55""";3840x1080;есть;есть
Телевизор SAMSUNG QE55Q80TAUXCE Smart 4K UHD QLED;449 590;Samsung;QE55Q80TAUXCE;телевизор;"55""";3840x2160;есть;есть
Телевизор SAMSUNG QE65Q60TAUXCE Smart 4K UHD;440 190;Samsung;QE65Q60TAUXCE;телевизор;"65""";3840x2160;есть;есть
Телевизор SAMSUNG QE75Q70TAUXCE Smart 4K UHD QLED;649 090;Samsung;QE75Q70TAUXCE;телевизор;"75""";3840x2160;есть;есть
Телевизор SAMSUNG QE65Q80TAUXCE Smart 4K UHD QLED;629 190;Samsung;QE65Q80TAUXCE;телевизор;"65""";3840x2160;есть;есть
Телевизор SONY KD49XH8096BR Android 9.0 4K UltraHD;295 290;Sony;KD49XH8096BR;телевизор;"49""";3840x1080;есть;есть
Телевизор SONY KD55XH8096BR Android 9.0 4K UltraHD;340 490;Sony;KD55XH8096BR;телевизор;"55""";3840x2160;есть;есть
Телевизор LG 43LM5500PLA Full HD;114 990;LG;43LM5500PLA;телевизор;"43""";1920х1080;есть;есть
Телевизор LG 43UN71006LB  Smart 4K UHD;166 090;LG;43UN71006LB;телевизор;"43""";3840x2160;есть;есть
Телевизор LG 43UN74006LA Smart 4K UHD;173 690;LG;43UN74006LA;телевизор;"43""";3840x2160;есть;есть
Телевизор LG 49UN71006LB Smart 4K UHD;188 590;LG;49UN71006LB;телевизор;"49""";3840x2160;есть;есть
Телевизор LG 55UN73506LB Smart 4K UHD;215 290;LG;55UN73506LB;телевизор;"55""";3840x2160;есть;есть
Телевизор LG 50UN74006LA Smart 4K UHD;206 190;LG;50UN74006LA;телевизор;"50""";3840x2160;есть;есть
Телевизор SAMSUNG The SERO QE43LS05TAUXCE Smart 4K QLED;539 190;Samsung;QE43LS05TAUXCE;телевизор;"43""";3840x1080;есть;есть
Телевизор SAMSUNG UE43TU7100UXCE Smart 4K UHD;170 090;Samsung;TU7100;телевизор;"43""";3840x2160;есть;есть
Телевизор TCL 43P8M Android 4K HD;125 890;TCL;P8M;телевизор;"43""";3840x2160;есть;есть
Телевизор TCL 32S60A, HD, Android;71 890;TCL;32S60A;телевизор;"32""";1366x768;есть;есть
Телевизор TCL 40S65A, Full HD, Android;107 890;TCL;40S65A;телевизор;"40""";1920х1080;есть;есть
Телевизор SAMSUNG UE43TU8000UXCE Smart 4K UHD;179 190;Samsung;UE43TU8000UXCE;телевизор;"43""";3840x2160;есть;есть
Телевизор Samsung UE55TU7500UXCE Smart 4K UHD;224 090;Samsung;UE55TU7500UXCE;телевизор;"55""";3840x2160;есть;есть
Телевизор SAMSUNG QE49Q80TAUXCE Smart 4K UHD;296 090;Samsung;QE49Q80TAUXCE;телевизор;"49""";3840x2160;есть;есть
Телевизор Samsung UE65TU7500UXCE Smart 4K UHD;314 190;Samsung;UE65TU7500UXCE;телевизор;"65""";3840x2160;есть;есть
Телевизор SAMSUNG UE65TU8000UXCE Smart 4K UHD;323 190;Samsung;UE65TU8000UXCE Smart 4K UHD;телевизор;"65""";3840x2160;есть;есть
"Телевизор SAMSUNG The FRAME 55"" Smart 4K QLED ( QE55LS03TAUXCE)";449 190;Samsung;The FRAME QE55LS03TAUXCE Smart 4K QLED;телевизор;"55""";3840x2160;есть;есть
Телевизор SAMSUNG The SERIF QE49LS01TAUXRU Smart 4K QLED;377 590;Samsung;SERIF QE49LS01TAUXRU;телевизор;"49""";3840x2160;есть;есть
"Телевизор SAMSUNG The SERIF 43"" Smart 4K QLED (QE43LS01TAUXRU)";314 190;Samsung;The SERIF QE43LS01TAUXRU;телевизор;"43""";3840x2160;есть;есть
"Телевизор SAMSUNG The FRAME 43"" Smart 4K QLED (QE43LS03TAUXCE)";314 590;Samsung;The FRAME QE43LS03TAUXCE;телевизор;"43""";3840x2160;есть;есть
Телевизор SAMSUNG UE50TU8500UXCE Smart 4K UHD;224 090;Samsung;UE50TU8500UXCE;телевизор;"50""";3840x2160;есть;есть
"Телевизор SAMSUNG The FRAME 50"" Smart 4K QLED (QE50LS03TAUXCE)";377 590;Samsung;QE50LS03TAUXCE;телевизор;"50""";3840x2160;есть;есть
"Телевизор SAMSUNG 55"" Smart 4K UHD (UE55TU8500UXCE)";260 190;Samsung;UE55TU8500UXCE;телевизор;"55""";3840x2160;есть;есть
"Телевизор SAMSUNG 65"" Smart 4K UHD (UE65TU7100UXCE)";305 190;Samsung;UE65TU7100UXCE;телевизор;"65""";3840x2160;есть;есть
Телевизор SAMSUNG UE43TU8500UXCE Smart 4K UHD;188 090;Samsung;UE43TU8500UXCE;телевизор;"43""";3840x2160;есть;есть
"Телевизор SAMSUNG 43"" Smart 4K UHD, QE43Q60TAUXCE";228 690;Samsung;QE43Q60TAUXCE;телевизор;"43""";3840x2160;есть;есть
"Телевизор SAMSUNG 32"" Smart HD, UE32T4500AUXCE";107 890;Samsung;UE32T4500AUXCE;телевизор;"32""";1366x768;есть;есть
Телевизор SAMSUNG UE50TU7100UXCE Smart 4K UHD;188 090;Samsung;UE50TU7100UXCE;телевизор;"50""";3840x2160;есть;есть
Телевизор SAMSUNG UE55TU7100UXCE Smart 4K UHD;215 190;Samsung;UE55TU7100UXCE;телевизор;"55""";3840x2160;есть;есть
Телевизор SAMSUNG UE43T5300AUXCE Smart Full HD;143 090;Samsung;UE43T5300AUXCE;телевизор;"43""";1920х1080;есть;есть
"Телевизор TCL 55"" Smart 4K UHD, L55C8M";251 890;TCL;L55C8M;телевизор;"55""";3840x2160;есть;есть
"Телевизор Xiaomi Mi TV 4S EU 43""";149 990;Xiaomi;серый;телевизор;"43""";3840x2160;есть;есть
"Телевизор Xiaomi Mi TV 4S, 55""";215 990;Xiaomi;4S;телевизор;"55""";3840x2160;есть;есть
Телевизор KIVI 50U600GR Smart 4K UHD;159 890;KIVI;50U600GR;телевизор;"50""";3840x2160;есть;есть
Телевизор SONY KD49XG7005BR Smart 4K UHD;224 190;Sony;KD49XG7005BR;телевизор;"49""";3840x2160;есть;есть
"Телевизор SONY 43"" Smart 4K UHD, KD43XG7005BR";233 890;Sony;KD43XG7005BR;телевизор;"43""";3840x2160;есть;есть
Телевизор TCL L55P8M 4K UHD;179 890;TCL;TCL L55P8M;телевизор;"55""";3840x2160;есть;есть
Телевизор TCL L50P8M 4K UHD;152 890;TCL;TCL L50P8M;телевизор;"50""";3840x2160;есть;есть
Телевизор LG 43LM5700PLA Smart Full HD;138 690;LG;43LM5700PLA;телевизор;"43""";1920х1080;есть;есть
Телевизор LED LG 55UM7300PLB черный;211 390;LG;55UM7300PLB;телевизор;"55""";3840x2160;есть;есть
Телевизор SAMSUNG The SERIF QE55LS01RAUXRU Smart 4K QLED;449 990;Samsung;The SERIF QE55LS01RAUXRU;телевизор;"55""";3840x2160;есть;есть
Телевизор SAMSUNG The SERIF QE49LS01RAUXRU Smart 4K QLED;399 990;Samsung;The SERIF QE49LS01RAUXRU;телевизор;"49""";3840x2160;есть;есть
Телевизор SAMSUNG The SERIF QE43LS01RAUXRU Smart 4K QLED;279 890;Samsung;The SERIF QE43LS01RAUXRU;телевизор;"43""";3840x2160;есть;есть
Телевизор SAMSUNG The FRAME QE55LS03RAUXRU Smart 4K QLED;449 890;Samsung;The FRAME QE55LS03RAUXRU;телевизор;"55""";3840x2160;есть;есть
"Телевизор SAMSUNG The FRAME 43"" Smart 4K QLED (QE43LS03RAUXRU)";279 890;Samsung;FRAME QE43LS03RAUXRU;телевизор;"43""";3840x2160;есть;есть
"Телевизор LG 49UM7100PLB Smart 4K UHD 49""";161 890;LG;49UM7100PLB;телевизор;"49""";3840x2160;есть;есть
"Телевизор LG 43UM7100PLB Smart 4K UHD 43""";159 990;LG;43UM7100PLB;телевизор;"43""";3840x2160;есть;есть
"Телевизор TCL 40"" LED40D3000";76 390;TCL;LED40D3000;телевизор;"40""";1920х1080;есть;есть
"Телевизор SAMSUNG 43"" SMART 4K UE43RU7400UXCE";161 890;Samsung;UE43RU7400UXCE;телевизор;"43""";3840x2160;есть;есть
Телевизор SONY KDL-50WF665 Smart FullHD;196 690;Sony;KDL50WF665BR;телевизор;"50""";1920х1080;есть;есть
Телевизор SAMSUNG UE50NU7090UXCE Smart 4K UHD;161 890;Samsung;UE50NU7090UXCE;телевизор;"50""";3840x2160;есть;есть
"Телевизор TCL 32"" LED  32D3000";59 990;TCL;LED32D3000TCL;телевизор;"32""";1366x768;нет;нет
Телевизор Samsung UE43N5300AUXCE SMART LED;134 890;Samsung;UE43N5300AUXCE;телевизор;"43""";1920х1080;есть;есть
Телевизор Samsung UE43N5500AUXCE SMART LED;148 090;Samsung;UE43N5500AUXCE;телевизор;"43""";1920х1080;есть;есть
"Телевизор LG 49"" SMART LED 49LK5910PLC";179 990;LG;49LK5910PLC0;телевизор;"49""";1920х1080;есть;есть
"Телевизор Sony 40"" SMART LED KDL40WD653";151 390;Sony;KDL40WD653BR;телевизор;"40""";1920х1080;есть;есть
"Телевизор Sony SmartTV LED 32"" (81см) (KDL32WD603) черный";115 390;Sony;KDL32WD603BR;телевизор;"32""";1366x768;есть;есть
